ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GUY,Guyana,0.362878508,0.363515178,0.366315161,0.367833237,0.359782455,0.352215681,0.349753733,0.346736182,0.350104352,0.348083599,0.310608008,0.307434722,0.305509474,0.304897127,0.300973576,0.300390218,0.297311143,0.290731789,0.297012015,0.309331137,0.309797996,0.321013374,0.316815044,0.315795739,0.313334374,0.312166775
HTI,Haiti,0.24703263,0.247032658,0.246830029,0.246652384,0.246540698,0.246522579,0.234429794,0.222546808,0.220928108,0.213228931,0.20732816,0.20900914,0.215161211,0.220413335,0.224691315,0.221113581,0.217619759,0.22587687,0.232722386,0.23161855,0.230491258,0.242260539,0.241557903,0.241460199,0.235360199,0.231958825
HND,Honduras,0.265395661,0.264747044,0.278639356,0.280565243,0.278548933,0.276936774,0.2782238,0.27270114,0.273284239,0.279173126,0.266403643,0.26082738,0.277211151,0.28205173,0.293745307,0.286349551,0.2751627,0.265123157,0.270049814,0.276110751,0.278003291,0.272914885,0.274013556,0.274189619,0.267696268,0.267311065
HUN,Hungary,0.495353455,0.486509592,0.489472779,0.494608412,0.496402433,0.503307193,0.514738307,0.519876656,0.51052709,0.513700957,0.513730958,0.533629576,0.531687184,0.534195164,0.540264524,0.527404901,0.534749474,0.531942301,0.529679884,0.520835629,0.515796312,0.503780785,0.502903723,0.497177649,0.500789202,0.499735629
ISL,Iceland,0.565626435,0.562938919,0.580333992,0.61522212,0.61803147,0.651409639,0.651176711,0.678759297,0.681552894,0.689231541,0.691035691,0.713030365,0.739978585,0.726368257,0.732333065,0.732075088,0.730757267,0.714475599,0.715179429,0.754772902,0.734329342,0.71695442,0.717059683,0.737521841,0.7272573,0.716842151
IND,India,0.355732339,0.356210869,0.357253789,0.358725324,0.362047842,0.365429498,0.358286816,0.351511753,0.351989837,0.353217229,0.382492367,0.454645519,0.453592962,0.457723825,0.454738203,0.480556708,0.4814811,0.48354789,0.488150891,0.289441254,0.294064145,0.321955698,0.337330479,0.346413568,0.36262435,0.385969708
IDN,Indonesia,0.345505767,0.34565023,0.336080091,0.325373841,0.329765328,0.331971967,0.327559413,0.323720543,0.316699065,0.321418631,0.347806862,0.425349123,0.438083839,0.447014814,0.447906618,0.469973698,0.475355578,0.484991428,0.492140099,0.348613963,0.347641773,0.353077094,0.371881121,0.380730057,0.378935465,0.386502075
IRN,"Iran, Islamic Republic of",0.317699358,0.318737452,0.31713638,0.315910395,0.318971099,0.32225953,0.32849916,0.33370198,0.340986645,0.346413616,0.350746978,0.32900742,0.355946967,0.382020518,0.349875134,0.347168975,0.361492195,0.364123182,0.373197055,0.405328687,0.417332002,0.442864455,0.440434775,0.400950918,0.396305583,0.388919933
IRQ,Iraq,0.286551123,0.286349877,0.28961239,0.292869178,0.292432083,0.292236406,0.295085337,0.298221717,0.298947077,0.276844986,0.260672345,0.254245022,0.2521251,0.257949569,0.262159748,0.266183701,0.270740882,0.264955506,0.268849961,0.276280584,0.270884368,0.293948252,0.306259761,0.301192836,0.302896977,0.298124621
IRL,Ireland,0.514573764,0.518165711,0.524197876,0.531348546,0.537323599,0.542084383,0.542927615,0.544387658,0.542023006,0.539052763,0.549127175,0.603399152,0.614422697,0.613298858,0.608157118,0.602904747,0.598871845,0.590001917,0.606368383,0.62853831,0.638630628,0.616437343,0.611872116,0.613273852,0.597746267,0.598480013
ISR,Israel,0.519987859,0.522804198,0.522526873,0.522084257,0.523710607,0.525833273,0.515859717,0.5126344,0.51320784,0.515990567,0.505812386,0.526432144,0.542618851,0.544871766,0.527877274,0.538132965,0.538096159,0.536492524,0.533020916,0.544421596,0.549089526,0.53628972,0.532939909,0.530233555,0.52915562,0.54192577
